City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Sept-Iles,CA,50.2001,-66.3821,21.2,68,1,10.36,clear sky
80,Butaritari,KI,3.0707,172.7902,81.23,81,95,18.12,light rain
81,Lamar,US,33.6668,-95.5836,30.99,86,1,9.22,clear sky
82,Japura,ID,-0.3167,102.35,77.4,85,100,4.85,light rain
83,Alofi,NU,-19.0595,-169.9187,77.0,88,26,3.44,scattered clouds
84,Malaya Serdoba,RU,52.4661,44.9512,27.36,97,98,16.28,overcast clouds
85,Skibbereen,IE,51.55,-9.2667,35.6,93,20,4.61,few clouds
86,Lazaro Cardenas,MX,17.9583,-102.2,70.84,84,0,5.06,clear sky
87,Nikolskoye,RU,59.7035,30.7861,8.01,85,40,2.24,scattered clouds
88,Bluff,NZ,-46.6,168.3333,52.0,94,84,14.0,broken clouds
89,Carbonia,IT,39.1672,8.5222,53.6,100,20,4.61,few clouds
90,Synya,RU,65.3718,58.0387,-7.78,90,0,1.19,clear sky
91,Ratnagiri,IN,16.9833,73.3,88.52,53,0,3.67,clear sky
92,Nagua,DO,19.3832,-69.8474,71.01,98,100,2.17,overcast clouds
93,Biak,ID,-0.9131,122.8766,83.26,72,24,0.6,few clouds
94,Castro,BR,-24.7911,-50.0119,61.14,97,40,3.53,scattered clouds
95,Lata,PT,40.1629,-8.3327,41.0,75,20,5.75,few clouds
96,Otane,NZ,-39.8833,176.6333,61.0,81,54,8.01,broken clouds
97,Zhigansk,RU,66.7697,123.3711,-30.17,84,100,1.01,overcast clouds
98,Monterey,US,36.2505,-121.2516,42.01,21,30,0.6,scattered clouds
99,Lavrentiya,RU,65.5833,-171.0,-12.8,85,0,8.05,clear sky
100,Qaanaaq,GL,77.484,-69.3632,-1.37,75,0,7.36,clear sky
101,Kodiak,US,57.79,-152.4072,42.8,87,90,25.32,light rain
102,Casino,AU,-28.8667,153.05,75.2,69,0,10.36,clear sky
103,Half Moon Bay,US,37.4636,-122.4286,48.99,87,1,4.18,clear sky
