City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Basco,PH,2021-01-08 08:52:13,20.4487,121.9702,68.18,82,100,32.08
67,Aswan,EG,2021-01-08 08:52:14,24.0934,32.907,80.01,21,0,10.78
68,Omboue,GA,2021-01-08 08:52:14,-1.5746,9.2618,79.66,84,97,4.81
69,Faanui,PF,2021-01-08 08:52:14,-16.4833,-151.75,79.9,77,74,12.41
70,Fort Beaufort,ZA,2021-01-08 08:52:15,-32.7748,26.6338,73.78,66,100,8.1
71,Margate,GB,2021-01-08 08:52:15,51.3813,1.3862,33.01,87,100,3.0
72,Cabo San Lucas,MX,2021-01-08 08:52:15,22.8909,-109.9124,59.0,67,0,1.01
73,Nanortalik,GL,2021-01-08 08:52:15,60.1432,-45.2371,36.05,95,100,3.33
74,Birao,CF,2021-01-08 08:52:16,10.2849,22.7882,87.58,13,56,13.8
75,Denpasar,ID,2021-01-08 08:51:28,-8.65,115.2167,80.6,89,40,5.75
76,Naryan-Mar,RU,2021-01-08 08:52:16,67.6713,53.087,-3.28,93,58,1.9
77,Salalah,OM,2021-01-08 08:52:16,17.0151,54.0924,80.6,22,0,10.36
78,Port Blair,IN,2021-01-08 08:52:17,11.6667,92.75,83.37,69,16,14.23
79,Bethel,US,2021-01-08 08:52:17,41.3712,-73.414,25.0,74,1,3.44
80,San Patricio,US,2021-01-08 08:52:17,28.017,-97.5169,48.2,81,1,11.5
81,Padang,ID,2021-01-08 08:52:17,-0.9492,100.3543,84.56,69,100,3.78
82,Tabou,CI,2021-01-08 08:52:18,4.423,-7.3528,81.19,77,40,4.32
83,Luderitz,NA,2021-01-08 08:52:18,-26.6481,15.1594,74.08,52,0,13.31
84,Takoradi,GH,2021-01-08 08:52:18,4.8845,-1.7554,81.43,81,100,6.64
85,Mackenzie,CA,2021-01-08 08:52:18,55.2999,-123.1698,8.6,92,90,3.89
86,Ribeira Grande,PT,2021-01-08 08:52:19,38.5167,-28.7,53.6,76,20,13.8
87,Carnarvon,AU,2021-01-08 08:52:19,-24.8667,113.6333,91.4,49,71,18.41
88,Tautira,PF,2021-01-08 08:52:19,-17.7333,-149.15,78.8,78,0,4.61
89,Carutapera,BR,2021-01-08 08:52:19,-1.195,-46.02,79.16,83,97,7.05
90,Dikson,RU,2021-01-08 08:52:20,73.5069,80.5464,-6.43,91,100,16.55
91,Lebu,CL,2021-01-08 08:52:20,-37.6167,-73.65,51.75,83,99,14.97
92,Ixtlahuacan Del Rio,MX,2021-01-08 08:52:20,20.8667,-103.25,57.99,53,95,0.45
93,Kununurra,AU,2021-01-08 08:52:20,-15.7667,128.7333,100.4,30,13,8.05
94,Xuddur,SO,2021-01-08 08:52:21,4.1213,43.8894,85.14,27,10,19.66
95,Sarny,UA,2021-01-08 08:52:21,51.338,26.6019,31.3,96,92,10.85
96,San Pedro De Cajas,PE,2021-01-08 08:52:21,-11.2511,-75.8617,39.34,81,95,1.77
97,Viana,BR,2021-01-08 08:52:22,-20.3903,-40.4961,77.0,78,20,10.36
98,Aksha,RU,2021-01-08 08:52:22,50.2814,113.2867,4.24,83,19,11.72
99,Dunedin,NZ,2021-01-08 08:47:51,-45.8742,170.5036,55.99,76,100,8.61
100,Butaritari,KI,2021-01-08 08:52:22,3.0707,172.7902,81.25,82,58,19.77
101,Nendaz,CH,2021-01-08 08:52:23,46.1833,7.3,27.0,59,75,5.75
102,Asau,RO,2021-01-08 08:52:23,46.4333,26.4,37.0,55,100,2.86
103,Hamilton,US,2021-01-08 08:50:15,39.1834,-84.5333,33.01,74,90,13.8
104,Boyabat,TR,2021-01-08 08:52:23,41.4689,34.7667,53.6,71,75,3.44
105,Bundibugyo,UG,2021-01-08 08:52:24,0.7414,30.0417,94.96,24,70,1.3
106,Mehamn,NO,2021-01-08 08:52:24,71.0357,27.8492,19.4,68,0,29.93
107,Touros,BR,2021-01-08 08:52:24,-5.1989,-35.4608,75.2,88,40,3.44
108,Kijang,KR,2021-01-08 08:52:24,35.2442,129.2139,24.8,26,20,11.5
109,Nikolskoye,RU,2021-01-08 08:52:25,59.7035,30.7861,24.8,86,90,6.71
110,Zhigansk,RU,2021-01-08 08:52:25,66.7697,123.3711,-33.52,83,100,9.06
111,Hilo,US,2021-01-08 08:52:25,19.7297,-155.09,69.8,78,1,6.91
112,Dingle,PH,2021-01-08 08:52:25,10.9995,122.6711,75.81,93,100,11.27
113,Fairbanks,US,2021-01-08 08:52:25,64.8378,-147.7164,1.4,78,75,5.01
114,Talnakh,RU,2021-01-08 08:52:26,69.4865,88.3972,-10.95,88,100,15.08
115,Flinders,AU,2021-01-08 08:52:26,-34.5833,150.8552,68.0,60,75,9.22
116,Georgetown,MY,2021-01-08 08:52:26,5.4112,100.3354,89.6,55,40,13.8
117,Elko,US,2021-01-08 08:52:26,41.0002,-115.5012,24.8,80,1,4.7
118,Chuy,UY,2021-01-08 08:52:27,-33.6971,-53.4616,64.62,70,0,6.55
119,Hasaki,JP,2021-01-08 08:52:27,35.7333,140.8333,37.4,55,75,3.44
120,Agde,FR,2021-01-08 08:51:54,43.3108,3.4758,32.0,86,0,4.61
121,Baghdad,IQ,2021-01-08 08:49:36,33.3406,44.4009,59.0,31,0,4.61
122,Rio Grande,BR,2021-01-08 08:52:28,-32.035,-52.0986,63.0,89,0,8.25
123,Finnsnes,NO,2021-01-08 08:52:28,69.2296,17.9811,6.8,85,75,4.56
124,Aklavik,CA,2021-01-08 08:52:28,68.2191,-135.0107,17.6,92,0,4.61
125,Huesca,ES,2021-01-08 08:52:28,42.1362,-0.4087,28.99,100,40,0.38
126,Avarua,CK,2021-01-08 08:52:29,-21.2078,-159.775,77.0,83,71,3.44
127,Challans,FR,2021-01-08 08:52:29,46.8436,-1.8749,28.4,93,0,2.3
128,Atuona,PF,2021-01-08 08:52:29,-9.8,-139.0333,77.09,79,13,14.58
129,Ahipara,NZ,2021-01-08 08:52:32,-35.1667,173.1667,63.77,89,12,6.73
130,Port Lincoln,AU,2021-01-08 08:52:33,-34.7333,135.8667,72.01,59,0,14.03
131,Itarema,BR,2021-01-08 08:52:33,-2.9248,-39.9167,78.39,81,45,12.55
132,Harper,LR,2021-01-08 08:49:49,4.375,-7.7169,81.39,76,45,4.56
133,Brae,GB,2021-01-08 08:52:33,60.3964,-1.353,37.4,75,20,20.71
134,Altay,CN,2021-01-08 08:52:34,47.8667,88.1167,7.45,73,91,1.36
135,Klaksvik,FO,2021-01-08 08:52:34,62.2266,-6.589,33.8,75,90,11.5
136,Mar Del Plata,AR,2021-01-08 08:52:34,-38.0023,-57.5575,62.01,88,90,3.44
137,Hermanus,ZA,2021-01-08 08:52:35,-34.4187,19.2345,75.0,57,70,5.01
138,Dzhebariki-Khaya,RU,2021-01-08 08:52:35,62.2167,135.8,-42.65,76,41,1.77
139,Esperance,AU,2021-01-08 08:49:53,-33.8667,121.9,89.6,25,0,21.85
140,East London,ZA,2021-01-08 08:52:35,-33.0153,27.9116,77.0,69,20,17.27
141,Constitucion,CL,2021-01-08 08:50:57,-35.3333,-72.4167,56.37,62,92,3.22
142,Anadyr,RU,2021-01-08 08:52:36,64.75,177.4833,-16.6,76,0,8.95
143,Neuquen,AR,2021-01-08 08:52:36,-38.9516,-68.0591,62.6,48,0,3.44
144,Banswada,IN,2021-01-08 08:52:36,18.3833,77.8833,90.25,24,35,9.86
145,Muzhi,RU,2021-01-08 08:52:36,65.3667,64.6667,-18.65,86,2,4.38
146,Komsomolskiy,UZ,2021-01-08 08:52:37,40.4272,71.7189,24.8,63,75,2.3
147,Freeport,US,2021-01-08 08:52:37,40.6576,-73.5832,30.2,64,1,6.91
148,Lompoc,US,2021-01-08 08:52:00,34.6391,-120.4579,53.01,93,90,3.44
149,Marrakesh,MA,2021-01-08 08:52:13,31.6315,-8.0083,59.0,82,40,5.75
150,Lagoa,PT,2021-01-08 08:52:38,39.05,-27.9833,56.21,70,1,14.16
151,Berbera,SO,2021-01-08 08:52:38,10.4396,45.0143,80.35,46,86,17.78
152,Leningradskiy,RU,2021-01-08 08:52:38,69.3833,178.4167,-16.96,82,27,5.64
153,Yakeshi,CN,2021-01-08 08:52:38,49.2833,120.7333,-25.24,85,37,4.99
154,Ponta Do Sol,PT,2021-01-08 08:52:39,32.6667,-17.1,50.0,76,84,7.0
155,Muisne,EC,2021-01-08 08:52:39,0.6,-80.0333,75.51,82,100,8.12
156,Erzin,TR,2021-01-08 08:52:40,36.9559,36.2,62.01,51,96,7.0
157,Leshukonskoye,RU,2021-01-08 08:52:40,64.8989,45.7622,-7.98,90,0,4.43
158,Ucluelet,CA,2021-01-08 08:52:40,48.9329,-125.5528,46.99,85,100,8.01
