City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
167,Bubaque,GW,75.7,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
168,Souillac,MU,84.2,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
169,Bengkulu,ID,84.99,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
170,Imamoglu,TR,68.0,clear sky,37.2651,35.6572,İSAK TATAR
172,Moron,AR,73.0,clear sky,-34.6534,-58.6198,Hotel Morón
173,Gigmoto,PH,75.11,overcast clouds,13.7796,124.39,Cj's Travellers Inn
174,Kavaratti,IN,83.01,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
180,Bisho,ZA,71.6,few clouds,-32.8472,27.4422,Bisho Park bnb
184,San Cristobal,VE,65.43,overcast clouds,7.7669,-72.225,Pirineos
187,Cururupu,BR,74.52,overcast clouds,-1.8283,-44.8683,Pousada Través'cia
188,Les Cayes,HT,73.38,overcast clouds,18.2,-73.75,Villa Orphee
189,Bang Mun Nak,TH,87.01,clear sky,16.0278,100.3792,NIDA Rooms Phichit 55 Bang Mun Nak
191,Cruz Alta,BR,66.04,clear sky,-28.6386,-53.6064,Hotel Linassi
195,Chipinge,ZW,76.8,light rain,-20.1883,32.6236,Chipinge Breeze Lodge
196,Sungairaya,ID,82.13,overcast clouds,0.7,108.9,Mess P.Milu
199,Mineiros,BR,69.93,overcast clouds,-17.5694,-52.5511,Pilões Palace Hotel
200,Mizdah,LY,75.09,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
202,Ambilobe,MG,84.6,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
203,San Nicolas,PH,84.2,few clouds,18.1725,120.5953,NORTHVIEW Hotel
205,Quatre Cocos,MU,84.2,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
208,Lower Hutt,NZ,63.0,broken clouds,-41.2167,174.9167,Boulcott Lodge
209,Turan,VN,68.0,light rain,16.0678,108.2208,Grand Mercure Danang
210,Christchurch,NZ,62.01,few clouds,-43.5333,172.6333,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
216,Codrington,AU,70.32,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
217,Riyadh,SA,62.6,mist,24.6877,46.7219,InterContinental Riyadh
219,Salinopolis,BR,78.94,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
220,Faya,SA,62.6,light rain,18.3851,42.4509,مقبرة ال مجمل
221,Mount Gambier,AU,86.0,overcast clouds,-37.8333,140.7667,Commodore on the Park
224,Mouila,GA,81.57,broken clouds,-1.8685,11.0559,Hôtel du Lac Bleu
225,Pundaguitan,PH,83.14,clear sky,6.3711,126.1689,Leonardo Family Beach House 1
226,Gouyave,GD,78.8,few clouds,12.1646,-61.7296,Rumboat Retreat
227,Vaitape,PF,81.12,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
228,Chabahar,IR,67.28,clear sky,25.2919,60.643,هتل گدروشیا
229,Santiago Del Estero,AR,72.0,few clouds,-27.7951,-64.2615,Hotel Urbano
231,Hualmay,PE,69.48,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
233,Chuy,UY,66.25,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
234,Buala,SB,82.69,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
237,Kahului,US,70.0,clear sky,20.8947,-156.47,Maui Seaside Hotel
238,Sao Joao Da Barra,BR,75.99,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
240,Santiago,CL,61.0,clear sky,-33.4569,-70.6483,Sheraton Santiago Hotel and Convention Center
241,Ahipara,NZ,63.79,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
242,Sinjai,ID,84.63,light rain,-5.1241,120.25299999999999,Wisma Sandika
243,Padang,ID,86.0,light rain,-0.9492,100.3543,Mercure Padang
244,Labuhan,ID,81.63,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
246,Avarua,CK,78.8,light rain,-21.2078,-159.775,Paradise Inn
252,Kruisfontein,ZA,66.0,light rain,-34.0033,24.7314,Oyster Bay House Rental
253,The Valley,AI,77.0,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
